Adults,Children,Start Date,End Date,Total Cost
1,0,2023-2-2,2023-2-4,299.98
2,1,2023-2-5,2023-2-10,999.95
2,0,2023-2-22,2023-2-24,349.98
2,2,2023-3-6,2023-3-7,199.99
1,1,2023-3-17,2023-3-20,524.97
3,0,2023-3-18,2023-3-23,924.95
2,2,2023-3-29,3023-3-31,349.98
2,0,2023-3-31,2023-4-5,874.95
1,0,2023-4-9,2023-4-13,799.96
1,1,2023-4-23,2023-4-24,174.99
2,4,2023-5-30,2023-6-2,1199.97
2,0,2023-6-10,2023-6-14,599.96
1,0,2023-6-10,2023-6-14,599.96
3,0,2023-6-17,2023-6-18,184.99
2,0,2023-6-28,2023-7-2,699.96
3,1,2023-7-13,2023-7-14,184.99
4,2,2023-7-18,2023-7-21,1259.97
2,1,2023-7-28,2023-7-29,199.99
1,0,2023-8-30,2023-9-1,349.98
2,0,2023-9-16,2023-9-17,149.99
2,2,2023-9-13,2023-9-15,399.98
2,2,2023-11-22,2023-11-25,1199.97
2,0,2023-11-22,2023-11-25,449.97
2,2,2023-11-22,2023-11-25,599.97
2,0,2023-12-24,2023-12-28,699.96